PKNC_1,PKNC_2,PKNC_3,PKNC_4,PKNC_5,PKNC_6,PKNC_7,PKNC_8,PKNC_9,PKNC_10,PKNC_11,PKNC_12,PKNC_13,PKNC_14,PKNC_15,PKNC_16,PKNC_17,PKNC_18,PKNC_19,PKNC_20,PKNC_21
0.03232271,0,0.16161357,0,0.03232271,0,0,0,0.09696814,0.03232271,0.16161357,0.03232271,0.03232271,0,0,0,0.08330412,0.11287783,0.09106513,0.04912472,0.08181935
0,0,0.03124664,0,0,0,0.03124664,0.09373992,0,0.06249328,0.09373992,0.06249328,0.03124664,0.06249328,0.09373992,0,0.08162568,0.09990958,0.07611665,0.079579,0.10032956
0.03196746,0.03196746,0.15983732,0,0.09590239,0.06393493,0,0,0.09590239,0.03196746,0.06393493,0,0,0,0,0,0.07833736,0.09074367,0.07961177,0.08269278,0.09320007
0,0,0,0.03024429,0,0,0,0.03024429,0,0,0.09073287,0.12097716,0.06048858,0,0.12097716,0.09073287,0.07054518,0.10365814,0.10162493,0.09555463,0.08421988
0.06218754,0.03109377,0.12437509,0,0.06218754,0,0,0.03109377,0.09328132,0.03109377,0.03109377,0.03109377,0,0.03109377,0,0.03109377,0.078876,0.08352197,0.07041928,0.10903554,0.09845932
0.03149918,0.09449755,0.06299837,0.03149918,0.09449755,0.03149918,0.03149918,0,0.09449755,0,0.03149918,0,0,0,0,0.06299837,0.07131957,0.08512104,0.08278397,0.10069164,0.09309847
0.06041013,0.03020506,0.06041013,0.03020506,0.03020506,0,0.03020506,0.03020506,0.09061519,0,0.09061519,0.03020506,0,0.03020506,0.03020506,0,0.066351,0.08588337,0.09310646,0.10445446,0.10651358
0,0.0289662,0,0.0289662,0,0.0868986,0,0.0868986,0.0579324,0.0289662,0.0289662,0,0,0.0289662,0.0868986,0.0579324,0.0811121,0.12137616,0.11380377,0.09192779,0.07038858
0.02934127,0.02934127,0.05868255,0,0.02934127,0.02934127,0,0.1173651,0.02934127,0.02934127,0.02934127,0,0,0.1173651,0,0.02934127,0.07483046,0.08934124,0.08436995,0.11659411,0.1067213
0,0.06168358,0,0.03084179,0.06168358,0.09252537,0.03084179,0.03084179,0,0,0,0.06168358,0.03084179,0.06168358,0.06168358,0.03084179,0.07497408,0.0992041,0.09959111,0.08970083,0.08137768
0,0,0.03071556,0.06143112,0.03071556,0,0,0.06143112,0.06143112,0.06143112,0.06143112,0.03071556,0,0.03071556,0.12286224,0,0.07586508,0.10488943,0.09228402,0.08830739,0.08577399
0.0307215,0.061443,0.061443,0,0.0307215,0.0307215,0,0.0921645,0.061443,0.061443,0.0307215,0,0,0.0307215,0.061443,0,0.0794861,0.10255777,0.07067707,0.09323918,0.10105285
0.03195355,0.03195355,0.12781419,0,0.09586065,0.0639071,0,0,0.09586065,0.03195355,0.0639071,0,0,0.03195355,0,0,0.07999829,0.08811876,0.08179536,0.08689429,0.08802942
0.02694723,0.05389446,0,0.02694723,0.05389446,0.05389446,0,0.05389446,0.02694723,0.02694723,0.10778891,0,0,0,0.05389446,0,0.06600913,0.11158617,0.11688681,0.11083457,0.10963323
0,0,0.03069477,0,0,0.09208432,0,0.09208432,0,0.03069477,0.06138955,0.06138955,0.03069477,0.09208432,0.06138955,0,0.06763585,0.11243199,0.11194222,0.08569894,0.0697851
0,0,0,0.02966144,0,0.02966144,0,0.02966144,0,0,0.08898433,0.11864577,0.02966144,0,0.11864577,0.08898433,0.06990592,0.10455603,0.10413832,0.10362257,0.08387118
0,0.0284217,0.0568434,0.0284217,0.0284217,0,0,0.0568434,0.0284217,0.0568434,0.0568434,0.0284217,0.0568434,0,0.0568434,0.0284217,0.08067441,0.11611838,0.10389905,0.09776909,0.08994846
0,0.03086656,0.03086656,0.03086656,0.06173313,0,0,0.03086656,0.03086656,0.06173313,0.03086656,0.06173313,0,0,0.09259969,0.09259969,0.07328168,0.09372389,0.09133138,0.10185721,0.08420768
0.03039607,0.0911882,0,0,0.0911882,0,0.03039607,0.03039607,0,0.03039607,0.06079213,0.06079213,0.03039607,0,0.06079213,0.03039607,0.06770377,0.08736014,0.11228954,0.10095053,0.08456682
0.05584677,0.05584677,0.02792339,0.02792339,0.02792339,0,0.05584677,0,0.08377016,0,0.08377016,0.02792339,0,0.02792339,0.02792339,0,0.07707118,0.099709,0.10966107,0.10726693,0.10367088
0,0.09945882,0.03315294,0,0.09945882,0.09945882,0,0.06630588,0.03315294,0.03315294,0,0.03315294,0,0.03315294,0.06630588,0,0.05937605,0.06713614,0.09016961,0.09279498,0.0937703
0,0,0.12796006,0,0.03199001,0,0,0.03199001,0.09597004,0.06398003,0.12796006,0.03199001,0,0,0.06398003,0,0.07923824,0.1013065,0.09843316,0.07717475,0.06802708
0,0.054608,0,0.081912,0.054608,0.054608,0.027304,0,0.054608,0.027304,0.027304,0,0.027304,0,0.054608,0.027304,0.0652451,0.08991272,0.1026679,0.11760301,0.13309926
0.03192155,0.03192155,0.12768619,0,0.0638431,0,0,0.03192155,0.0638431,0.03192155,0.03192155,0.0638431,0,0.03192155,0.03192155,0.03192155,0.07482072,0.08164871,0.08175933,0.10259324,0.08459014
0.03125253,0.09375758,0.06250505,0,0.06250505,0.03125253,0,0.03125253,0.06250505,0.03125253,0.06250505,0.03125253,0,0,0.06250505,0,0.07952978,0.09220961,0.08325691,0.09114295,0.09131528
0.03116632,0.03116632,0,0,0.03116632,0.09349897,0,0.06233265,0,0,0.06233265,0.09349897,0.03116632,0.06233265,0.06233265,0,0.05884471,0.10700256,0.10499481,0.09365798,0.07450615
0.02762232,0.05524464,0.02762232,0,0.02762232,0.02762232,0.02762232,0.02762232,0,0.05524464,0.05524464,0.05524464,0.02762232,0,0.05524464,0.02762232,0.07362183,0.10050493,0.12587165,0.11458533,0.08821448
0,0,0.06091597,0.03045799,0,0.12183195,0,0.09137396,0.03045799,0,0.06091597,0.03045799,0.06091597,0.06091597,0,0,0.05265568,0.0959644,0.11206359,0.0979881,0.09308446
